Organisation,Office_location,Latitude,Longitude,Website,Example_project_location,Program_name,Topic,More_info,ImageURL
WALHI,"Jl. Tegal Parang Utara No.14 5, RT.5/RW.4, Mampang Prpt., Kec. Mampang Prpt., Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12790, Indonesia",-6.242587519,106.832277,https://www.walhi.or.id/,"Bantul;
Bandar Lampung","Planting 100 mangrove seedlings; Planting 1,000 mangrove seedlings; Policy Study entitled Policy Paper on Protection and Management of Mangrove Ecosystems in Indonesia",mangrove rehabilitation or restoration; research; advocacy,"https://walhijogja.or.id/wahana-lingkungan-hidup-indonesia-yogyakarta-bersama-sejumlah-elemen-melakukan-Penanaman-mangrove-di-pantai-baros/;
https://www.rmollampung.id/walhi-dan-mahusa-unila-tambah-1000-pohon-mangrove-di-pesisir-bandar-lampung;
https://www.walhi.or.id/kertas-posisi-perlindungan-dan-pengelolaan-ekosistem-mangrove-di-indonesia",https://kiprahagroforestri.id/wp-content/uploads/2025/11/WALHI.png
Waste4Change,"Kantor Waste4Change Vida Bumipala, Jl. Alun Alun Utara, RT.002/RW.001, Padurenan, Mustika Jaya, Bekasi, West Java 17156",-6.316783302,107.001045,https://waste4change.com/,Surabaya,"WINGS Peduli Foundation carries out Wonorejo River Cleanup with Waste4Change; Bank Mandiri involves 1,350 participants in Mandiri Cleanup Nationwide",coastal waste management,"https://marketing.co.id/yayasan-wings-peduli-laksanakan-aksi-bersih-sungai-wonorejo-bersama-waste4change/;
https://www.idntimes.com/news/indonesia/aksi-bersih-mandiri-02-hs754-w1hckl",https://kiprahagroforestri.id/wp-content/uploads/2025/11/w4change.png
Wetlands International Indonesia,"Jl. Bango No.11, RT.06/RW.04, Tanah Sareal, Kec. Tanah Sereal, Kota Bogor, Jawa Barat 16161, Indonesia",-6.570296935,106.8030231,http://indonesia.wetlands.org/,Kutai Kartanegara,"The Ecosystem-based Approach/Nature-Based Solutions for Climate Smart Livelihoods in Mangrove Landscapes (NASCLIM), Indonesia (GGGI and Wetland Indonesia); Publication of Mangrove Introduction Guide in Indonesia",mangrove rehabilitation or restoration; research; advocacy,"https://indonesia.wetlands.org/id/blog/the-ecosystem-based-approach-nature-based-solutions-for-climate-smart-livelihoods-in-mangrove-landscapes-nasclim-indonesianasclim/;
https://indonesia.wetlands.org/id/publikasi/panduan-pengenalan-mangrove-di-indonesia/",https://kiprahagroforestri.id/wp-content/uploads/2025/11/Wetlands.jpg
WRI Indonesia,"Gedung Wisma PMI, Jl. Wijaya I No.63 8, RT.8/RW.1, Petogogan, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12170",-6.244920265,106.8083016,https://wri-indonesia.org/id,"Semarang;
Cirebon;
Kota Ambon;
Banyuwangi","Mangrove Tag;
Bootcamp ‘Youth Contributors to Forest Development Data Vol. 2: Terrestrial and Mangrove';
AQUADAPT (Climate Smart Shrimp/CSS);

","sustainable aquaculture; mangrove rehabilitation or restoration; advocacy;
institutional strengthening and human resource capacity building;  education","https://mangrovetag.com/2023/11/01/hapus-jejak-emisi-karbon-di-bumi-mangrove-tag-lakukan-pendampingan-penanaman-dan-pemantauan-20-000-bibit-mangrove-kepada-wri-indonesia-di-smc-jateng/;
https://wri-indonesia.org/id/berita/mendukung-upaya-pengelolaan-kelautan-di-indonesia-icctf-bappenas-didukung-oleh-afd-dan-wri;
https://wri-indonesia.org/en/events/2025/1/bootcamp-pemuda-kontributor-data-pembangunan-hutan-vol-2-terestrial-dan-mangrove;
https://wri-indonesia.org/en/insights/understanding-spatial-planning-protect-mangrove-ecosystems",https://kiprahagroforestri.id/wp-content/uploads/2025/11/WRI_Indonesia.png
Yayasan Aceh Ocean Coral,"Jl. Geuce Menara VIII, Lr. Cempaka, No. 2. Banda Aceh, Indonesia",5.550513959,95.34968728,https://acehoceancoral.org/,Bireun,Greening program and efforts to prevent coastal abrasion,mangrove rehabilitation or restoration,https://aceh.tribunnews.com/2025/06/29/12-ribu-bibit-mangrove-ditanam-di-saluran-tambak-jangka-alue-u-bireuen-lanjutan-dari-kuala-jeumpa,https://kiprahagroforestri.id/wp-content/uploads/2025/11/AOC.png
Yayasan Bakau Manfaat Universal (BakauMU),"Jl. Buncit Raya No.Kav. 99, Pejaten Bar., Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12510",-6.277863282,106.8296341,https://www.bakaumu.org/,Bali,Financial Industry Environment Program,mangrove rehabilitation or restoration,https://bakaumu.org/projects/detail/SERkdzAzMzMvVUdFelJiZjlxQUdxQT09,https://kiprahagroforestri.id/wp-content/uploads/2025/11/bakaumu.png
Yayasan Konservasi Laut Indonesia (YBLI),"PERUMAHAN BUMI PESONA PELANGI, Jl. Kuning Jl. Minasa Upa No.15, Gn. Sari, Kec. Rappocini, Kota Makassar, Sulawesi Selatan 90221",-5.18355202,119.4614849,https://yklindonesia.org/,Makassar,Learning Together Mangrove Rehabilitation; Restore the Lantebung Mangroves,mangrove rehabilitation or restoration,https://yklindonesia.org/?s=MANGROVE;,https://yklindonesia.org/wp-content/uploads/2020/10/LOGO-YKL-INDONESIA_PNG_web.png
Yayasan CARE Peduli (CARE Indonesia),"Jl. Taman Margasatwa Raya No.26 Blok D, RT.5/RW.1, Ragunan, Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12550",-6.290500937,106.8228744,https://careindonesia.or.id/en/?s=mangrove,Minahasa Utara,Women’s empowerment and mangrove restoration program for coastal communities,mangrove rehabilitation or restoration,https://careindonesia.or.id/id/dinas-kelautan-dan-perikanan-provinsi-sulawesi-utara-dukung-care-indonesia-dan-yayasan-bumi-tangguh-untuk-pemberdayaan-perempuan-dan-perlindungan-ekosistem-mangrove-di-3-desa/,https://kiprahagroforestri.id/wp-content/uploads/2025/11/Care_Indonesia.png
Yayasan Ecology Kepulauan Riau (YEKR),"Jl. Basuki Rahmat No.09, Tj. Ayun Sakti, Kec. Bukit Bestari, Kota Tanjung Pinang, Kepulauan Riau 29113",0.908116814,104.4617106,https://www.ecology.or.id/,Bintan,"Action of Planting 50,000 Mangrove Seedlings in Berakit, Bintan",mangrove rehabilitation or restoration,https://konsepnews.com/2025/05/03/lanal-bintan-dan-yayasan-ecology-kepulauan-riau-lakukan-Penanaman-50-000-pohon-mangrove/,https://kiprahagroforestri.id/wp-content/uploads/2025/11/YER.png
Yayasan EcoNusa,"Jl. Kaliele, Malaingkedi, Kec. Sorong Utara, Kota Sorong, Papua Barat Daya 98412",-0.88732341,131.2929129,https://econusa.id/en/,Jakarta; Papua,Mangrove Badge Challenge; Mangrove Expedition,education; advocacy; research,"https://econusa.id/id/ecoblog/mangrove-badge-upaya-mempercepat-pelestarian-mangrove/;
https://econusa.id/en/publication/mangrove-expedition-report/",https://kiprahagroforestri.id/wp-content/uploads/2025/11/econusa.jpg
Yayasan Gambut,"Jl. Gulama No.8, RT.01/RW.09, Tengkerang Bar., Kec. Marpoyan Damai, Kota Pekanbaru, Riau 28282",0.498253426,101.4263265,https://yayasangambut.org/,Bengkalis,Community-Based Mangrove Conservation Program,mangrove rehabilitation or restoration,"https://yayasangambut.org/yayasan-gambut-gec-dan-masyarakat-lokal-bekerjasama-dengan-aramco-untuk-mengatasi-erosi-pantai-di-provinsi-riau-indonesia/;
https://yayasangambut.org/pendekatan-kolaboratif-dalam-pemberdayaan-masyarakat-dan-konservasi-kawasan-pesisir-di-kabupaten-bengkalis/",https://kiprahagroforestri.id/wp-content/uploads/2025/11/yayasan_gambut.jpg
Yayasan Geutanyo,"Gang Haji Hasan Jl. Syech Ibrahim, Beurawe, Kec. Kuta Alam, Kota Banda Aceh, Aceh 24415",5.558612675,95.33119505,https://www.geutanyoe.id/,Aceh Timur,"Geutanyoe Foundation Plants 25,000 Mangrove Stakes in East Aceh",mangrove rehabilitation or restoration,https://gentalamedia.com/2024/10/30/yayasan-geutanyoe-tanam-25-000-batang-mangrove-di-aceh-timur/,https://kiprahagroforestri.id/wp-content/uploads/2025/11/geuntayo.png
Yayasan Jaringan Peduli Masyarakat (JPM),"Jalan TDM V RT 004/RW 001, Kelurahan Oebufu, Kecamatan Oebobo, Kota Kupang, Nusa Tenggara Timur, Indonesia",-10.17170871,123.6291547,https://yayasanjpm.com/,Kupang,Mangrove Ecosystem Recovery and Entrepreneurship Capacity Enhancement for Coastal Residents of Tanah Merah and Menipo,"institutional strengthening and human resource capacity building; 
mangrove rehabilitation or restoration",https://yayasanjpm.com/program-pemulihan-ekosistem-manggrove-pln-uiw-ntt,https://kiprahagroforestri.id/wp-content/uploads/2025/11/JPM.png
Yayasan KEHATI,"Jl. Benda Alam I No.73, RT.6/RW.4, Cilandak Tim., Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12560",-6.277609522,106.813956,https://kehati.or.id/,"Brebes;
Kota Makassar;
Donggala;
Parigi Moutong;
Banten",Mangrove restoration and ecotourism program; Mangrove species enrichment program through seedling and planting activities; Marine Ecosystem Program - Development of a Mangrove Ecosystem Rehabilitation Learning Center; SOLUSI Project; Mangrove Carbon Research in Brebes (KEHATI in collaboration with IKAMaT); Mangrove Ecosystem Management Program in Coastal and Marine Areas of Banten Province,"mangrove ecotourism;
mangrove rehabilitation or restoration;
research","https://kehati.or.id/app/uploads/2025/01/AR-KEHATI-2023-INDONESIA-HIGHRES.pdf;
https://kehati.or.id/app/uploads/2025/01/AR-KEHATI-2023-INDONESIA-HIGHRES.pdf;
https://kehati.or.id/kawasan-wisata-lantebung-menjadi-pusat-pembelajaran-rehabilitasi-ekosistem-mangrove/;
https://mongabay.co.id/2025/08/05/warga-donggala-rehabilitasi-hutan-mangrove-teluk-palu/;
https://kontekssulawesi.id/2025/07/27/aswini-dimple-buka-aksi-Penanaman-2-000-bibit-mangrove-di-oncone-raya/;
https://ikamat.org/2020/12/19/ikamat-kerjakan-proyek-riset-karbon-mangrove-di-brebes/;
https://www.antaranews.com/berita/2819201/yayasan-kehati-kembangkan-program-konservasi-mangrove-di-banten",https://kiprahagroforestri.id/wp-content/uploads/2025/11/KEHATI.jpg
Yayasan Konservasi Alam Nusantara (YKAN),"Graha Iskandarsyah, Jl. Iskandarsyah Raya No.66C Lt. 3, RT.3/RW.1, Melawai, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12160",-6.24364189,106.8036339,https://www.ykan.or.id/id/,"Ogan Komering Ilir; 
Berau; 
Bengkalis;
Sumatera Selatan;
Belitung Timur;
Belitung",MERA Program (Mangrove Ecosystem Restoration Alliance); Training in management and strengthening of mangrove area database systems; Solutions for Marine and Coastal Resilience in the Coral Triangle (SOMACORE) Program; Program to Improve Local Community Livelihoods through Coastal Ecosystem Protection in Bangka Belitung Islands; International Day for Mangrove Ecosystem Commemoration; Natural Climate Solutions Program,"education; 
institutional strengthening and human resource capacity building;
mangrove rehabilitation or restoration; 
strengthening regulations; 
sustainable aquaculture;
research; advocacy","https://www.ykan.or.id/id/publikasi/artikel/perspektif/kurikulum-merdeka-sebagai-sarana-edukasi-ekosistem-mangrove/;
https://www.ykan.or.id/id/publikasi/artikel/siaran-pers/pelatihan-teknis-perlindungan-dan-perbaikan-ekosistem-mangrove/;
https://www.ykan.or.id/id/publikasi/artikel/siaran-pers/perkuat-usaha-perempuan-dan-konservasi-laut/;
https://www.ykan.or.id/id/publikasi/artikel/siaran-pers/turunkan-laju-kerusakan-mangrove-desa-teluk-pambang-bengkalis/;
https://www.ykan.or.id/id/publikasi/artikel/siaran-pers/pemulihan-ekosistem-mangrove-di-provinsi-sumatera-selatan/;
https://tahija.or.id/environment/community-based-mangrove-protection-and-restoration-program;
https://www.ykan.or.id/id/publikasi/artikel/siaran-pers/hari-mangrove-sedunia-dari-kampung-teluk-semanting/;
https://prokopim.bengkaliskab.go.id/web/detailberita/12877/melalui-program-mera-dua-desa-di-pulau-bengkalis-terpilih-program-pemulihan-ekosistem-mangrove;
https://www.ykan.or.id/id/publikasi/artikel/siaran-pers/turunkan-laju-kerusakan-mangrove-desa-teluk-pambang-bengkalis/;
https://www.ykan.or.id/id/publikasi/artikel/siaran-pers/pemulihan-ekosistem-mangrove-di-provinsi-sumatera-selatan/;
https://telusuri.id/restorasi-mangrove-di-ogan-komering-ilir/;
https://www.ykan.or.id/id/publikasi/artikel/perspektif/restorasi-kerusakan-mangrove/",https://kiprahagroforestri.id/wp-content/uploads/2025/11/YKAN.png
Yayasan Konservasi Pesisir Indonesia (Yakopi),"Jl. Suka Dharma No.3, Suka Maju, Kec. Medan Johor, Kota Medan, Sumatera Utara 20217",3.548735572,98.69272082,https://www.yakopi.org/,"Aceh Singkil;
Simeulue;
Batubara;
Simeulue","YAKOPI and Aceh Singkil Government Partner for Coastal Ecosystem Restoration; Planting mangroves on an area of 19.19 hectares; Batu Bara Ready to Become the World’s Lungs, Mangrove Culture Festival 2025 Rocks Sejarah Beach; Assistance in drafting Village Regulation No. 04 of 2023 on mangrove protection in Blang Sebel Village","mangrove rehabilitation or restoration;
strengthening regulations; advocacy","https://www.yakopi.org/yakopi-and-aceh-singkil-government-partner-for-coastal-ecosystem-restoration/;
https://aceh.wartapolri.com/2023/09/24/yakopi-gelar-konsultasi-publik-mengenai-teknis-restorasi-mangrove/;
https://www.researchgate.net/publication/385715119_Community_Participation_in_Mangrove_Conservation_the_Evidence_from_Blang_Sebel_Simeulue;
https://batubarapos.com/batubara/batu-bara-siap-jadi-paru-paru-dunia-mangrove-culture-festival-2025-guncang-pantai-sejarah/",https://kiprahagroforestri.id/wp-content/uploads/2025/11/yakopi.jpeg
Yayasan Mangrove Indonesia Lestari,"Jl. Boulevard No. 1 Kelapa Gading Jakarta
The Kensington Office Tower,
Jakarta Utara, Jakarta Utara 12420",-6.172526,106.897024,https://mangrovejakarta.id/,Tangerang,Multi-stakeholder collaboration activities for mangrove ecosystem rehabilitation; Baby Tree Program,mangrove rehabilitation or restoration; advocacy,https://www.goodnewsfromindonesia.id/2025/02/28/kegiatan-menanam-ratusan-pohon-bakau-oleh-mangrove-jakarta-community-dalam-rangka-hari-sampah-sedunia,https://kiprahagroforestri.id/wp-content/uploads/2025/11/yayasan_mangrove_indonesia_lestari_logo.jpg
Yayasan Mangrove Sosial Indonesia (YSMI),"Jl. Kramat Kwitang No.13, RT.1/RW.7, Kwitang, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10420",-6.18001243,106.8404708,https://mangroveindonesia.or.id/our-project/,Seram Bagian Timur,Seram-Maluku: Replanting Damaged Mangroves,mangrove rehabilitation or restoration,https://greenindonesia.co/seram-maluku-tanam-kembali-mangrove-yang-rusak/,https://mangroveindonesia.or.id/wp-content/uploads/2024/04/logo-2024-baru.png
Yayasan Parapuar Lingko Nusantara,"Labuan Bajo, East Nusa Tenggara, Indonesia",-8.483793773,119.9010014,https://www.ypln.or.id/,Manggarai Barat,Mangrove Guardian Program,mangrove rehabilitation or restoration,https://www.ypln.or.id/?page_id=286,https://kiprahagroforestri.id/wp-content/uploads/2025/11/ypln.png
Yayasan Penyu Berau (YPB),"Jln. Murjani II Gang Anggrek Bulan, Kec. Tanjung Redeb, Kab. Berau 77315",1.249795631,118.7123978,https://yayasanpenyuberau.org/,Berau,Improving Mangrove-Based Ecotourism Management Effectively in Tembudan Village; Mangrove Potential Study in Tembudan Village,mangrove ecotourism; research,"https://yayasanpenyuberau.org/2021/05/17/ypb-dan-tfca-kalimantan-bermitra-dalam-program-pengelolaan-kawasan-hutan-mangrove-di-kampung-tembudan/;
https://yayasanpenyuberau.org/project-details/",https://kiprahagroforestri.id/wp-content/uploads/2025/11/ypln.png
Yayasan Pesisir Lestari,"Gg Merta Yoga, Dauh Puri, Denpasar Barat, Denpasar City, Bali 80232",-8.66235762,115.2145264,https://www.pesisirlestari.org/,"Indragili Hulu;
Bali",Climate Change Adaptation with New Livelihoods and Mangrove Rehabilitation: Lessons from Indragiri Hilir Coast; Good Energies Project,"mangrove rehabilitation or restoration; advocacy; 
institutional strengthening and human resource capacity building","https://www.pesisirlestari.org/pesisir-lestari-program;
https://blue-forests.org/id/adaptasi-perubahan-iklim-dengan-mata-pencaharian-baru-dan-rehabilitasi-mangrove-pembelajaran-dari-pesisir-indragiri-hilir/ruang-berita/cerita-dari-lapangan/;
https://blueventures.org/blue-ventures-and-yayasan-pesisir-lestari-a-new-partnership-to-restore-indonesias-seas/:
https://www.zonaterbang.id/read/2024/09/03/2529/desa-budeng-pesona-mangrove-bali",https://kiprahagroforestri.id/wp-content/uploads/2025/11/pesisir_lestari.png
Yayasan Rumah Bahari Gemilang (Rubalang),"5V2W+P5F, Unnamed Road, Tondo, East Palu, Kota Palu, Sulawesi Tengah 94111",-0.847504886,119.8953462,https://rubalang.or.id/,Donggala,World Ocean Day Commemoration,mangrove rehabilitation or restoration,https://rindang.id/2024/06/09/rubalang-dan-arkom-inisiasi-Penanaman-mangrove-di-pulau-pangalasiang/,https://kiprahagroforestri.id/wp-content/uploads/2025/11/yayasan_rumah_bahari_gemilang_rubalang_logo.jpg
Yayasan WWF Indonesia,"Graha Simatupang, Tower 2 Unit C Lantai 7, Daerah Khusus Ibukota, Jl. TB Simatupang No.11, Jakarta, Daerah Khusus Ibukota Jakarta 12540",-6.296335983,106.830111,https://www.wwf.id/id/search?combine=mangrove,Manggarai Barat,1000 Mangroves: A Concrete Step to Preserve the Ecosystem,mangrove rehabilitation or restoration; advocacy,https://www.wwf.id/en/blog/1000-mangrove-concrete-step-preserve-ecosystem,https://kiprahagroforestri.id/wp-content/uploads/2025/11/wwf.png
